iter	RMSE
0	14378989.01
1	14217228.54
2	14053883.54
3	13892494.38
4	13725732.3
5	13560903.01
6	13405716.53
7	13249329.35
8	13107448.5
9	12981993.62
10	12834035.26
11	12666055.42
12	12518250.24
13	12383124.1
14	12252631.48
15	12119554.82
16	12011852.68
17	11892662.04
18	11760260.47
19	11634225.75
20	11501540.16
21	11386195.13
22	11273233.52
23	11162628.58
24	11044075.76
25	10913017.09
26	10807098.43
27	10730963.12
28	10631155.25
29	10513266.78
30	10422087.98
31	10302854.08
32	10186599.44
33	10139570.73
34	10024407.76
35	9909572.213
36	9809166.788
37	9721838.035
38	9612652.339
39	9514397.6
40	9412564.834
41	9316297.012
42	9229068.441
43	9147324.885
44	9086875.137
45	8981819.331
46	8886032.014
47	8806530.083
48	8733179.622
49	8646769.385
50	8571802.916
51	8499353.778
52	8403597.486
53	8334123.399
54	8256655.949
55	8182857.21
56	8090876.443
57	8008475.974
58	7947685.914
59	7857841.679
60	7773816.141
61	7715433.311
62	7632087.19
63	7564953.4
64	7484489.772
65	7411640.673
66	7377525.375
67	7330373.858
68	7250903.921
69	7189831.139
70	7115594.945
71	7047604.338
72	6982188.303
73	6919628.595
74	6858494.003
75	6797925.938
76	6728267.329
77	6670155.265
78	6609179.468
79	6542587.155
80	6496313.883
81	6436345.758
82	6377132.896
83	6329129.113
84	6258241.56
85	6197315.531
86	6150204.008
87	6094132.023
88	6038107.388
89	5973008.04
90	5917878.902
91	5857015.266
92	5804686.474
93	5762998.179
94	5709791.863
95	5656035.501
96	5601374.327
97	5556381.517
98	5512967.227
99	5456446.525
100	5409953.47
101	5358039.75
102	5315914.019
103	5265981.079
104	5216956.494
105	5188383.407
106	5137697.761
107	5087127.074
108	5048625.512
109	5010848.903
110	4962302.267
111	4921881.76
112	4877615.533
113	4832155.015
114	4793568.185
115	4750695.955
116	4709164.783
117	4670364.714
118	4633428.413
119	4592100.163
120	4556099.395
121	4522530.813
122	4479559.502
123	4439819.894
124	4406964.767
125	4371491.912
126	4340396.155
127	4302268.826
128	4271695.136
129	4232510.373
130	4198813.858
131	4167654.52
132	4134311.746
133	4104401.832
134	4072766.83
135	4044707.792
136	4024470.787
137	3992393.742
138	3961939.985
139	3937111.913
140	3914827.468
141	3890788.737
142	3858859.319
143	3832401.313
144	3797609.816
145	3770245.932
146	3740756.26
147	3718527.14
148	3698428.534
149	3675530.077
150	3645842.856
151	3612115.231
152	3583104.894
153	3558772.482
154	3529547.789
155	3500321.665
156	3476137.918
157	3449216.191
158	3423748.595
159	3397259.585
160	3373886.855
161	3348628.533
162	3319997.061
163	3303154.137
164	3281080.275
165	3258494.394
166	3236893.639
167	3210885.355
168	3194480.997
169	3172185.334
170	3149866.827
171	3135950.402
172	3111891.228
173	3088095.461
174	3066085.588
175	3043348.724
176	3019359.327
177	2995767.473
178	2980541.815
179	2956044.071
180	2936290.809
181	2924285.041
182	2909518.543
183	2889341.571
184	2873757.754
185	2850600.336
186	2839120.684
187	2818375.962
188	2799112.01
189	2776971.5
190	2763726.397
191	2739716.656
192	2718682.508
193	2696768.446
194	2684356.162
195	2665043.991
196	2643301.989
197	2625039.614
198	2610534.581
199	2597571.459
200	2579403.705
201	2562006.32
202	2544989.067
203	2531586.729
204	2518320.436
205	2498523.117
206	2478852.95
207	2466698.192
208	2450564.136
209	2431370.742
210	2420769.76
211	2406173.364
212	2390498.31
213	2379542.724
214	2369526.079
215	2353534.251
216	2344160.444
217	2325799.482
218	2314598.64
219	2297541.59
220	2282407.653
221	2266369.547
222	2250823.565
