iter	Passed	Remaining
0	80	80295
1	85	42547
2	86	28602
3	86	21534
4	101	2014255	102	16906	6	102	1467	104	12967
8	105	11572
9	105	10489
10	106	9602
11	111	9183
12	116	8879
13	117	8276
14	118	7776
15	121	7465
16	121	7047
17	122	6686
18	123	6351
19	123	6069
20	124	5816
21	125	5579
22	126	5356
23	126	5162
24	133	5189
25	133	5019
26	134	4858
27	141	4917
28	148	4962
29	148	4807
30	149	4666
31	154	4687
32	155	4563
33	159	4538
34	160	4429
35	166	4462
36	167	4354
37	168	4254
38	174	4297
39	175	4206
40	176	4120
41	177	4039
42	177	3953
43	178	3868
44	178	3782
45	179	3713
46	179	3646
47	192	3827
48	193	3761
49	199	3784
50	199	3716
51	200	3655
52	201	3596
53	214	3752
54	214	3692
55	215	3631
56	222	3679
57	222	3619
58	223	3561
59	228	3584
60	233	3601
61	234	3546
62	235	3504
63	236	3459
64	237	3410
65	237	3363
66	243	3386
67	244	3344
68	249	3360
69	249	3316
70	250	3273
71	255	3291
72	255	3250
73	256	3212
74	262	3233
75	262	3197
76	263	3161
77	264	3123
78	264	3085
79	264	3046
80	265	3010
81	265	2977
82	266	282	283	267	2917
84	268	2890
85	275	2930
86	276	2902
87	277	2875
88	278	2855
89	279	2827
90	280	290	391	287	2836
92	288	292	313	3061
93	394	294	294	321	3063
95	396	300	2797
97	301	297	398	307	2799
99	308	299	3100	313	2792
101	314	2769
102	320	2792
103	321	2766
104	322	104	3105	326	2756
106	327	106	346	2893
107	3108	333	108	3109	333	109	3110	340	2728
111	341	2707
112	347	2725
113	347	113	362	2817
114	3115	348	115	363	2770
116	370	2795
117	371	2774
118	377	2791
119	377	2770
120	383	2787
121	384	2766
122	389	2776
123	389	2754
124	400	2802
125	401	2784
126	402	2765
127	403	2747
128	403	2727
129	404	2708
130	405	2688
131	411	2706
132	412	2688
133	413	2670
134	414	2653
135	415	2636
136	415	2617
137	416	2601
138	417	2584
139	417	2565
140	423	2579
141	423	2561
142	424	2545
143	425	2528
144	431	2541
145	431	2526
146	432	2509
147	433	2492
148	439	2509
149	440	2495
150	441	2480
151	447	2494
152	447	2479
153	448	2464
154	449	2450
155	450	2434
156	454	2438
157	4158	441	2337
159	442	159	4160	443	2311
